wmo,profile,file,bbp700_top20m_median,n_values_used
1902367,11,1902367QC.nc,0.0006425000000000001,10
1902368,13,1902368QC.nc,0.0013050000000000002,10
1902369,6,1902369QC.nc,0.0006805,10
1902369,33,1902369QC.nc,0.0011884999999999999,10
1902369,5,1902369QC.nc,0.000644,10
1902369,32,1902369QC.nc,0.000892,10
1902369,27,1902369QC.nc,0.0048365,10
1902369,4,1902369QC.nc,0.0006845,10
1902369,7,1902369QC.nc,0.0006995,10
1902369,25,1902369QC.nc,0.000937,10
1902370,34,1902370QC.nc,0.0007335,10
1902370,28,1902370QC.nc,0.00043349999999999997,10
1902370,46,1902370QC.nc,0.0004845,10
1902370,44,1902370QC.nc,0.000498,10
1902370,16,1902370QC.nc,0.0003645,10
1902371,1,1902371QC.nc,0.001411,10
1902371,5,1902371QC.nc,0.001377,10
1902371,0,1902371QC.nc,0.001426,9
1902371,4,1902371QC.nc,0.0013709999999999998,10
1902371,8,1902371QC.nc,0.0012645,10
1902371,3,1902371QC.nc,0.001367,9
1902371,7,1902371QC.nc,0.0013725,10
1902371,2,1902371QC.nc,0.001522,9
1902371,6,1902371QC.nc,0.00135,10
1902372,36,1902372QC.nc,0.0006835000000000001,10
1902372,13,1902372QC.nc,0.000676,10
1902380,96,1902380QC.nc,0.0005245,10
1902380,114,1902380QC.nc,0.000505,10
1902380,100,1902380QC.nc,0.000469,10
1902380,118,1902380QC.nc,0.000454,10
1902380,95,1902380QC.nc,0.00046,10
1902380,81,1902380QC.nc,0.000459,10
1902380,94,1902380QC.nc,0.0005225,10
1902380,117,1902380QC.nc,0.0004355,10
1902380,112,1902380QC.nc,0.00044950000000000003,10
1902380,121,1902380QC.nc,0.00049,10
1902380,98,1902380QC.nc,0.000426,10
1902380,116,1902380QC.nc,0.000483,9
1902380,84,1902380QC.nc,0.000492,10
1902380,93,1902380QC.nc,0.000543,10
1902381,94,1902381QC.nc,0.000611,10
1902381,98,1902381QC.nc,0.000668,10
1902381,81,1902381QC.nc,0.0005685,10
1902382,115,1902382QC.nc,0.000571,10
1902382,114,1902382QC.nc,0.0005855,10
1902382,113,1902382QC.nc,0.000593,10
1902382,94,1902382QC.nc,0.0006845,10
1902382,98,1902382QC.nc,0.000702,10
1902384,94,1902384QC.nc,0.000563,10
1902384,112,1902384QC.nc,0.0005465,10
1902384,84,1902384QC.nc,0.000484,10
1902384,93,1902384QC.nc,0.0004875,10
1902384,97,1902384QC.nc,0.0004994999999999999,10
1902384,92,1902384QC.nc,0.000464,10
1902384,96,1902384QC.nc,0.0004935,10
1902384,91,1902384QC.nc,0.000533,10
1902384,100,1902384QC.nc,0.0004915,10
1902384,95,1902384QC.nc,0.0005055000000000001,10
1902384,81,1902384QC.nc,0.0004445,10
1902385,118,1902385QC.nc,0.0004155,10
1902385,113,1902385QC.nc,0.0004505,10
1902385,94,1902385QC.nc,0.0004215,10
1902385,112,1902385QC.nc,0.0003985,10
1902385,80,1902385QC.nc,0.00041549999999999996,10
1902385,116,1902385QC.nc,0.0003905,10
1902385,84,1902385QC.nc,0.0004895,10
1902385,93,1902385QC.nc,0.000438,10
1902385,102,1902385QC.nc,0.00043349999999999997,10
1902385,97,1902385QC.nc,0.00041200000000000004,10
1902385,111,1902385QC.nc,0.0004355,10
1902385,92,1902385QC.nc,0.000435,10
1902385,82,1902385QC.nc,0.0004195,10
1902385,95,1902385QC.nc,0.0004225,10
1902385,90,1902385QC.nc,0.00045799999999999997,10
1902453,68,1902453QC.nc,0.0005579999999999999,10
