file,Rrs665,Rrs681,Rrs709,FLH_681,FLH_percent,aph440,has_Rrs_no,has_dRrs_raman,has_dRrs_fluo
Hydrolight100.nc,9.01789971976541e-05,7.763400208204985e-05,3.8836999010527506e-05,6.124822406987235e-06,7.889355492087128,0.003711000084877014,False,False,False
Hydrolight100_profile.nc,9.01789971976541e-05,7.763400208204985e-05,3.8836999010527506e-05,6.124822406987235e-06,7.889355492087128,,False,False,False
Hydrolight130.nc,8.869700104696676e-05,7.638199895154685e-05,3.823899896815419e-05,6.033362296875566e-06,7.8989321825720324,0.003711000084877014,False,False,False
Hydrolight130_profile.nc,8.869700104696676e-05,7.638199895154685e-05,3.823899896815419e-05,6.033362296875566e-06,7.8989321825720324,,False,False,False
Hydrolight160.nc,8.35960017866455e-05,7.205599831650034e-05,3.615400055423379e-05,5.711633341640919e-06,7.926659091659539,0.003711000084877014,False,False,False
Hydrolight160_profile.nc,8.35960017866455e-05,7.205599831650034e-05,3.615400055423379e-05,5.711633341640919e-06,7.926659091659539,,False,False,False
Hydrolight200.nc,0.00011380000069038942,9.76230003288947e-05,4.9235000915359706e-05,7.301181374879718e-06,7.478956137674347,0.003711000084877014,False,False,False
Hydrolight200_profile.nc,0.00011380000069038942,9.76230003288947e-05,4.9235000915359706e-05,7.301181374879718e-06,7.478956137674347,,False,False,False
Hydrolight230.nc,0.0001021999996737577,8.77190032042563e-05,4.406899824971333e-05,6.657549502878368e-06,7.589631960791969,0.003711000084877014,False,False,False
Hydrolight230_profile.nc,0.0001021999996737577,8.77190032042563e-05,4.406899824971333e-05,6.657549502878368e-06,7.589631960791969,,False,False,False
Hydrolight260.nc,9.66989973676391e-05,8.297699969261885e-05,4.180000178166665e-05,6.2412734471515424e-06,7.521690914677324,0.003711000084877014,False,False,False
Hydrolight260_profile.nc,9.66989973676391e-05,8.297699969261885e-05,4.180000178166665e-05,6.2412734471515424e-06,7.521690914677324,,False,False,False
Hydrolight400.nc,0.00011903000267921016,0.0001231600035680458,5.038399831391871e-05,2.9092184294396162e-05,23.621454572565643,0.003711000084877014,False,False,False
Hydrolight400_profile.nc,0.00011903000267921016,0.0001231600035680458,5.038399831391871e-05,2.9092184294396162e-05,23.621454572565643,,False,False,False
Hydrolight430.nc,0.00010764999751700088,0.00011436000204412267,4.527100099949166e-05,2.939327598803422e-05,25.702409463663383,0.003711000084877014,False,False,False
Hydrolight430_profile.nc,0.00010764999751700088,0.00011436000204412267,4.527100099949166e-05,2.939327598803422e-05,25.702409463663383,,False,False,False
Hydrolight460.nc,0.00010232000204268843,0.00011028999870177358,4.30430009146221e-05,2.952526979656382e-05,26.77057769889068,0.003711000084877014,False,False,False
Hydrolight460_profile.nc,0.00010232000204268843,0.00011028999870177358,4.30430009146221e-05,2.952526979656382e-05,26.77057769889068,,False,False,False
