cruise,filename,profile,lat,lon,time,solar_angle,pace_ids,closest_id,closest_file,closest_dist_km,closest_time
1902367,1902367QC.nc,11,3.709,88.955,2025-05-31 09:39:59.999997952+00:00,34.15823469101663,PACE_OCI_L2_AOP_PACE_OCI.20250601T070425.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20250601T070425.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20250601T070425.L2.OC_AOP.V3_1.nc,0.734763017610335,2025-06-01 07:06:54.500000+00:00
1902368,1902368QC.nc,13,56.348,-147.356,2024-07-09 04:35:00.000002048+00:00,13.134824655289316,PACE_OCI_L2_AOP_PACE_OCI.20240708T202028.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240708T202028.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240708T202028.L2.OC_AOP.V3_1.nc,671.3926736642136,2024-07-08 20:22:57.500000+00:00
1902369,1902369QC.nc,4,45.006,-133.357,2024-05-09 22:07:00.000001536+00:00,58.27658878937238,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc,0.6205978716706221,2024-05-10 20:36:38.500000+00:00
1902369,1902369QC.nc,5,45.02,-133.356,2024-05-10 09:02:59.999999488+00:00,-27.116449784571635,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc,0.5798409764791633,2024-05-10 20:36:38.500000+00:00
1902369,1902369QC.nc,6,45.02,-133.354,2024-05-10 19:52:59.999998464+00:00,60.42138072694716,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc,0.7097435985429317,2024-05-10 20:36:38.500000+00:00
1902369,1902369QC.nc,7,45.038,-133.348,2024-05-11 08:18:59.999995904+00:00,-26.535429573583343,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc,1.4714720055773653,2024-05-10 20:36:38.500000+00:00
1902369,1902369QC.nc,25,45.367,-132.841,2024-08-02 19:35:00.000002048+00:00,57.235309935917606,PACE_OCI_L2_AOP_PACE_OCI.20240802T200036.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240802T200036.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240802T200036.L2.OC_AOP.V3_1.nc,40.3237041326638,2024-08-02 20:03:05.500000+00:00
1902369,1902369QC.nc,27,45.161,-132.562,2024-08-23 03:24:00.000004608+00:00,2.82553152324834,PACE_OCI_L2_AOP_PACE_OCI.20240822T200221.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240822T200221.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240822T200221.L2.OC_AOP.V3_1.nc,75.15197353379419,2024-08-22 20:04:50.500000+00:00
1902369,1902369QC.nc,32,44.734,-131.99,2024-10-12 21:48:59.999995904+00:00,34.81050169351446,PACE_OCI_L2_AOP_PACE_OCI.20241013T202218.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20241013T202218.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20241013T202218.L2.OC_AOP.V3_1.nc,224.86228298530978,2024-10-13 20:24:48+00:00
1902369,1902369QC.nc,33,44.703,-131.969,2024-10-23 02:34:00.000002560+00:00,-8.416317408526254,PACE_OCI_L2_AOP_PACE_OCI.20241022T203443.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20241022T203443.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20241022T203443.L2.OC_AOP.V3_1.nc,2.036980044149471,2024-10-22 20:37:13+00:00
1902370,1902370QC.nc,16,5.055,160.529,2024-08-13 13:32:00.000003072+00:00,-70.4036173041354,PACE_OCI_L2_AOP_PACE_OCI.20240814T021023.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240814T021023.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240814T021023.L2.OC_AOP.V3_1.nc,0.5547993914568898,2024-08-14 02:12:52.500000+00:00
1902370,1902370QC.nc,28,5.898,165.981,2024-12-14 04:27:59.999996928+00:00,29.545721592544705,PACE_OCI_L2_AOP_PACE_OCI.20241214T013518.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20241214T013518.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20241214T013518.L2.OC_AOP.V3_1.nc,0.8079100472837961,2024-12-14 01:37:48+00:00
1902370,1902370QC.nc,34,5.828,167.535,2025-02-12 21:38:00.000005120+00:00,35.40181836064746,PACE_OCI_L2_AOP_PACE_OCI.20250213T023006.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20250213T023006.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20250213T023006.L2.OC_AOP.V3_1.nc,4.355696794417756,2025-02-13 02:32:35.500000+00:00
1902370,1902370QC.nc,44,5.447,166.346,2025-05-25 03:19:00.000002560+00:00,51.04738110341779,PACE_OCI_L2_AOP_PACE_OCI.20250524T092026.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20250524T092026.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20250524T092026.L2.OC_AOP.V3_1.nc,10213.028156772772,2025-05-24 09:22:55.500000+00:00
1902370,1902370QC.nc,46,5.264,166.271,2025-06-14 10:15:00.000003584+00:00,-41.59777087889765,PACE_OCI_L2_AOP_PACE_OCI.20250614T014105.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20250614T014105.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20250614T014105.L2.OC_AOP.V3_1.nc,58.16358629633616,2025-06-14 01:43:34.500000+00:00
1902371,1902371QC.nc,0,51.955,-142.958,2024-05-11 02:31:59.999999488+00:00,22.702201966968484,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc,351.2843360630494,2024-05-10 20:36:38.500000+00:00
1902371,1902371QC.nc,1,51.953,-142.962,2024-05-11 03:33:00.000002560+00:00,13.417189685919896,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc,351.471545338784,2024-05-10 20:36:38.500000+00:00
