cruise,filename,profile,lat,lon,time,solar_angle,pace_ids,closest_id,closest_file,closest_dist_km,closest_time,BING_Bnw,BING_Bnw_std,BING_Bnw_lsig,BING_Bnw_hsig,BING_beta,BING_aph,argo_bbp700
1902367,1902367QC.nc,11,3.709,88.955,2025-05-31 09:39:59.999997952+00:00,34.15823469101663,PACE_OCI_L2_AOP_PACE_OCI.20250601T070425.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20250601T070425.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20250601T070425.L2.OC_AOP.V3_1.nc,0.734763017610335,2025-06-01 07:06:54.500000+00:00,0.0008294857689179,0.0002053663192782,5.697569577023387e-05,5.632115062326193e-05,1.6960461139678955,0.0042550889775156,0.0006425000000000001
1902368,1902368QC.nc,13,56.348,-147.356,2024-07-09 04:35:00.000002048+00:00,13.134824655289316,PACE_OCI_L2_AOP_PACE_OCI.20240708T202028.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240708T202028.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240708T202028.L2.OC_AOP.V3_1.nc,671.3926736642136,2024-07-08 20:22:57.500000+00:00,0.00259640510194,0.0005001077079214,0.0001336021814495,0.0001407791860401,1.78995943069458,0.0051225703209638,0.0012935
1902369,1902369QC.nc,4,45.006,-133.357,2024-05-09 22:07:00.000001536+00:00,58.27658878937238,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc,0.6205978716706221,2024-05-10 20:36:38.500000+00:00,0.000651832553558,8.353828161489218e-05,6.434635724872351e-05,7.149606244638562e-05,1.1182432174682615,0.0028199758380651,0.0006835000000000001
1902369,1902369QC.nc,5,45.02,-133.356,2024-05-10 09:02:59.999999488+00:00,-27.116449784571635,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc,0.5798409764791633,2024-05-10 20:36:38.500000+00:00,0.000647836655844,0.0001605239231139,6.757170194759965e-05,7.191277109086514e-05,1.0983809232711792,0.002145352307707,0.000644
1902369,1902369QC.nc,6,45.02,-133.354,2024-05-10 19:52:59.999998464+00:00,60.42138072694716,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc,0.7097435985429317,2024-05-10 20:36:38.500000+00:00,0.000647836655844,0.000163567092386,6.757170194759965e-05,7.191277109086514e-05,1.0983809232711792,0.002145352307707,0.0006885
1902369,1902369QC.nc,7,45.038,-133.348,2024-05-11 08:18:59.999995904+00:00,-26.53542957358334,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240510T203409.L2.OC_AOP.V3_1.nc,1.4714720055773651,2024-05-10 20:36:38.500000+00:00,0.0008020734530873,0.0001549582229927,6.883643800392747e-05,7.21222604624927e-05,0.5294195413589478,0.0035770752001553,0.0006865
1902369,1902369QC.nc,25,45.367,-132.841,2024-08-02 19:35:00.000002048+00:00,57.235309935917606,PACE_OCI_L2_AOP_PACE_OCI.20240802T200036.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240802T200036.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240802T200036.L2.OC_AOP.V3_1.nc,40.3237041326638,2024-08-02 20:03:05.500000+00:00,0.0118878195062279,0.0021790007594972,0.0001777512952685,0.0001787943765521,0.0678940042853355,0.0192845240235328,0.0009875
1902369,1902369QC.nc,27,45.161,-132.562,2024-08-23 03:24:00.000004608+00:00,2.82553152324834,PACE_OCI_L2_AOP_PACE_OCI.20240822T200221.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20240822T200221.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20240822T200221.L2.OC_AOP.V3_1.nc,75.15197353379419,2024-08-22 20:04:50.500000+00:00,0.0042927656322717,0.0002287805691594,0.0001207715831696,0.0001175990328192,0.1026154235005378,0.0167909767478704,0.004064
1902369,1902369QC.nc,32,44.734,-131.99,2024-10-12 21:48:59.999995904+00:00,34.81050169351446,PACE_OCI_L2_AOP_PACE_OCI.20241013T202218.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20241013T202218.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20241013T202218.L2.OC_AOP.V3_1.nc,224.8622829853097,2024-10-13 20:24:48+00:00,0.0058010187931358,0.0026011511217802,0.0001141023822128,0.0001123258844017,0.0621817931532859,0.016874773427844,0.0008925000000000001
1902369,1902369QC.nc,33,44.703,-131.969,2024-10-23 02:34:00.000002560+00:00,-8.416317408526254,PACE_OCI_L2_AOP_PACE_OCI.20241022T203443.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI_L2_AOP_PACE_OCI.20241022T203443.L2.OC_AOP.V3_1.nc_3.1,PACE_OCI.20241022T203443.L2.OC_AOP.V3_1.nc,2.036980044149471,2024-10-22 20:37:13+00:00,0.001057087094523,0.0005474284407682,0.0001033534645102,0.0001081104855984,0.5842514038085938,0.0082040699198842,0.0011884999999999999
