wmo,cycle,lat,lon,rel_delta
1902368,13,56.348,-147.356,-0.3196517383316442
1902369,4,45.006,-133.357,-0.7448636005931725
1902369,5,45.02,-133.356,-0.5014140309755891
1902369,6,45.02,-133.354,-0.43875202298569416
1902369,7,45.038,-133.348,-0.17029081825274214
1902369,25,45.367,-132.841,0.8897869751803207
1902369,27,45.161,-132.562,0.5644716044575386
1902369,32,44.734,-131.99,0.7572095748566614
1902369,33,44.703,-131.969,0.05400489511788568
1902371,1,51.953,-142.962,0.5336890066564404
1902371,2,51.953,-142.968,0.5520885147388541
1902371,3,51.953,-142.973,0.557676364906162
1902371,4,51.956,-142.975,0.5662975059903052
1902371,5,51.96,-142.974,0.5835924888312786
1902371,6,51.963,-142.971,0.571673584616763
1902371,7,51.962,-142.973,0.5808656656026941
1902371,8,51.957,-142.978,0.5616360681011446
1902380,81,17.269,-44.988,0.7661782456674219
1902380,84,18.394,-44.495000000000005,0.8366688835007022
1902380,93,18.572,-42.78699999999998,0.648053568969756
1902380,94,18.677,-42.742999999999995,-0.5534120862909275
1902380,95,18.753,-42.778999999999996,-0.3968638439634816
1902380,96,18.806,-42.685,0.8416530399228369
1902380,98,18.774,-41.93799999999999,0.6574479521478468
1902380,100,18.611,-41.692999999999984,0.25342776571519543
1902380,112,18.11,-42.64499999999998,0.7044504599562413
1902380,114,17.827,-42.579999999999984,0.7733444652166395
1902380,116,18.235,-42.77600000000001,0.6736275564131642
1902380,117,18.466,-43.15899999999999,0.18404047887079233
1902380,118,18.66,-43.49400000000003,0.5491892809648788
1902382,94,19.015,-30.153999999999996,0.24661657000399578
1902382,98,19.109,-31.202999999999975,0.4752389872861025
1902382,111,20.086,-32.50400000000002,0.6493868144990753
1902382,113,19.997,-32.218999999999994,0.7152087436061245
1902382,114,19.829,-32.09699999999998,0.7579262443901349
1902382,115,19.563,-31.92500000000001,0.7407114949173667
1902384,81,20.736,-41.61099999999999,0.5365779977480559
1902384,84,20.254,-41.01799999999997,0.5971310412885082
1902384,91,20.106,-42.43099999999998,-1.1117443289906346
1902384,92,20.079,-42.58100000000002,0.4910113400528379
1902384,93,20.052,-42.759000000000015,0.743453003658127
1902384,94,19.908,-42.93099999999998,0.6338311252379523
1902384,95,19.62,-43.048,0.6265178662591139
1902384,96,19.385,-43.041,0.483091583998511
1902384,97,19.27,-42.77999999999997,0.5210040739607721
1902384,100,19.188,-41.66699999999997,0.7124299274442795
1902384,112,19.344,-41.05500000000001,0.7898532595338175
1902385,80,24.994,-55.40499999999997,0.3428618799195832
1902385,82,25.584,-56.418000000000006,0.48169856408386913
1902385,84,26.777,-57.115999999999985,0.5351968750327389
1902385,90,25.544,-58.12099999999998,-0.25961843555903685
1902385,92,25.143,-58.93599999999998,0.5963495720598789
1902385,93,24.86,-59.285000000000025,0.4748860472053653
1902385,94,24.662,-59.519000000000005,0.022514078096475036
1902385,95,24.691,-59.668000000000006,0.687341182336167
1902385,97,25.238,-59.95600000000002,0.8330693496656979
1902385,102,26.394,-60.83600000000001,0.7928737249629784
1902385,111,25.623,-60.910000000000025,0.6197213327230969
1902385,112,25.582,-60.61099999999999,0.44520631220166224
1902385,113,25.468,-60.10700000000003,-1.4465362884265032
