file,bbp700_top20m_median,n_values_used
7901009QC.nc,0.0006440000142902136,10
7901009QC.nc,0.0005370000144466758,9
4903622QC.nc,0.0005719999899156392,3
7901009QC.nc,0.0005590000073425472,9
4903622QC.nc,0.0005610000225715339,3
7901009QC.nc,0.0006244999822229147,10
4903622QC.nc,0.0005159999709576368,3
4903622QC.nc,0.000526999996509403,3
4903622QC.nc,0.0004290000069886446,3
7901009QC.nc,0.00048049999168142676,10
4903622QC.nc,0.000661000027321279,3
4903622QC.nc,0.0006389999762177467,3
4903622QC.nc,0.0005499999970197678,3
4903622QC.nc,0.0005169999785721302,3
4903622QC.nc,0.0004839999892283231,3
4903622QC.nc,0.0005729999975301325,3
4903622QC.nc,0.0006840000278316438,3
4903622QC.nc,0.0006500000017695129,3
7901009QC.nc,0.0005119999987073243,10
7901009QC.nc,0.0007639999967068434,10
7901009QC.nc,0.0006060000159777701,9
7901009QC.nc,0.0005619999719783664,9
2904010QC.nc,0.0006300000241026282,3
2904010QC.nc,0.000674000009894371,3
2904010QC.nc,0.0006849999772384763,3
2904010QC.nc,0.0005970000056549907,3
2904010QC.nc,0.0006409999914467335,3
2904011QC.nc,0.000623999978415668,3
2904011QC.nc,0.0007070000283420086,3
2904011QC.nc,0.0007430000114254653,3
7901009QC.nc,0.0006339999963529408,9
4903622QC.nc,0.0005050000036135316,3
4903622QC.nc,0.0005280000041238964,3
4903622QC.nc,0.0004729999927803874,3
4903622QC.nc,0.0005050000036135316,3
4903622QC.nc,0.0005939999828115106,3
4903622QC.nc,0.00044999999227002263,3
2904010QC.nc,0.0006200000061653554,3
7901009QC.nc,0.0006905000191181898,10
4903622QC.nc,0.0004720000142697245,3
7901009QC.nc,0.0005044999998062849,10
4903622QC.nc,0.0006479999865405262,3
4903622QC.nc,0.0004729999927803874,3
7901009QC.nc,0.0006849999772384763,10
4903622QC.nc,0.0005050000036135316,3
4903622QC.nc,0.0006830000202171504,3
2904011QC.nc,0.0006469999789260328,3
4903622QC.nc,0.001259000040590763,3
7901009QC.nc,0.0005810000002384186,9
4903622QC.nc,0.000539999979082495,3
7901009QC.nc,0.0005699999746866524,10
4903622QC.nc,0.0005830000154674053,3
4903622QC.nc,0.0005489999894052744,3
4903622QC.nc,0.000526999996509403,3
4903622QC.nc,0.0005169999785721302,3
4903622QC.nc,0.0005610000225715339,3
4903622QC.nc,0.0006070000235922635,3
4903622QC.nc,0.0005719999899156392,3
7901009QC.nc,0.0006270000012591481,9
7901009QC.nc,0.0005389999714680016,9
7901009QC.nc,0.0005409999866969883,9
7901009QC.nc,0.0005409999866969883,9
7901009QC.nc,0.0006350000039674342,10
7901009QC.nc,0.0006360000115819275,9
7901009QC.nc,0.0007550000445917249,10
7901009QC.nc,0.000950500019825995,10
7901009QC.nc,0.0005530000198632479,10
7901009QC.nc,0.0006435000104829669,10
7901009QC.nc,0.0005200000014156103,9
2904010QC.nc,0.0006409999914467335,3
2904010QC.nc,0.0006629999843426049,3
2904010QC.nc,0.0008149999775923789,3
7901009QC.nc,0.0005210000090301037,9
7901009QC.nc,0.0005039999959990382,9
4903622QC.nc,0.0005499999970197678,3
7901009QC.nc,0.0006280000088736415,9
7901009QC.nc,0.0005004999693483114,10
4903622QC.nc,0.0006489999941550195,3
7901009QC.nc,0.0005130000063218176,9
4903622QC.nc,0.0005610000225715339,3
4903622QC.nc,0.00044999999227002263,3
4903622QC.nc,0.0017030000453814864,3
4903622QC.nc,0.0005169999785721302,3
4903622QC.nc,0.0005600000149570405,3
4903622QC.nc,0.000615999975707382,3
4903622QC.nc,0.000750000006519258,3
4903622QC.nc,0.0005719999899156392,3
4903622QC.nc,0.0005499999970197678,3
7901009QC.nc,0.0006230000290088356,10
7901009QC.nc,0.0006374999647960067,10
7901009QC.nc,0.0005600000149570405,9
7901009QC.nc,0.0008040000102482736,10
2904010QC.nc,0.0006409999914467335,3
2904010QC.nc,0.0006300000241026282,3
2904010QC.nc,0.0006300000241026282,3
2904010QC.nc,0.0006520000169984996,3
2904010QC.nc,0.0007719999994151294,3
2904011QC.nc,0.0006120000034570694,3
2904011QC.nc,0.0006719999946653843,3
2904011QC.nc,0.0006949999951757491,3
2904011QC.nc,0.0005159999709576368,3
2904011QC.nc,0.0006350000039674342,3
2904011QC.nc,0.0007430000114254653,3
2904011QC.nc,0.0007190000033006072,3
2904011QC.nc,0.0006000000284984708,3
7901009QC.nc,0.0006649999995715916,9
7901009QC.nc,0.0005784999812021852,10
7901009QC.nc,0.0006060000159777701,9
7901009QC.nc,0.0005159999709576368,9
7901009QC.nc,0.0006060000159777701,9
7901009QC.nc,0.0004895000020042062,10
7901009QC.nc,0.0005189999938011169,10
4903622QC.nc,0.0007050000131130219,3
7901009QC.nc,0.0006210000137798488,9
4903622QC.nc,0.00039400000241585076,3
7901009QC.nc,0.0005970000056549907,9
4903622QC.nc,0.0005280000041238964,3
4903622QC.nc,0.0004949999856762588,3
4903622QC.nc,0.0005610000225715339,3
7901009QC.nc,0.0004459999909158796,9
7901009QC.nc,0.0005089999758638442,9
2904011QC.nc,0.0006590000120922923,3
2904010QC.nc,0.0006200000061653554,3
2904010QC.nc,0.0006520000169984996,3
2904010QC.nc,0.000826000003144145,3
2904011QC.nc,0.0007200000109151006,3
2904011QC.nc,0.0005639999872073531,3
7901009QC.nc,0.000598000013269484,9
7901009QC.nc,0.0005319999763742089,9
7901009QC.nc,0.0006469999789260328,10
7901009QC.nc,0.0005520000122487545,9
2904010QC.nc,0.00072900002123788,3
2904011QC.nc,0.0007450000266544521,3
7901009QC.nc,0.0006440000142902136,10
7901009QC.nc,0.0005370000144466758,9
4903622QC.nc,0.0005719999899156392,3
7901009QC.nc,0.0005590000073425472,9
4903622QC.nc,0.0005610000225715339,3
7901009QC.nc,0.0006244999822229147,10
4903622QC.nc,0.0005159999709576368,3
4903622QC.nc,0.000526999996509403,3
4903622QC.nc,0.0004290000069886446,3
7901009QC.nc,0.00048049999168142676,10
4903622QC.nc,0.000661000027321279,3
4903622QC.nc,0.0006389999762177467,3
4903622QC.nc,0.0005499999970197678,3
4903622QC.nc,0.0005169999785721302,3
4903622QC.nc,0.0004839999892283231,3
4903622QC.nc,0.0005729999975301325,3
4903622QC.nc,0.0006840000278316438,3
4903622QC.nc,0.0006500000017695129,3
7901009QC.nc,0.0005119999987073243,10
7901009QC.nc,0.0007639999967068434,10
7901009QC.nc,0.0006060000159777701,9
7901009QC.nc,0.0005619999719783664,9
2904010QC.nc,0.0006300000241026282,3
2904010QC.nc,0.000674000009894371,3
2904010QC.nc,0.0006849999772384763,3
2904010QC.nc,0.0005970000056549907,3
2904010QC.nc,0.0006409999914467335,3
2904011QC.nc,0.000623999978415668,3
2904011QC.nc,0.0007070000283420086,3
2904011QC.nc,0.0007430000114254653,3
7901009QC.nc,0.0006339999963529408,9
4903622QC.nc,0.0005050000036135316,3
4903622QC.nc,0.0005280000041238964,3
4903622QC.nc,0.0004729999927803874,3
4903622QC.nc,0.0005050000036135316,3
4903622QC.nc,0.0005939999828115106,3
4903622QC.nc,0.00044999999227002263,3
2904010QC.nc,0.0006200000061653554,3
7901009QC.nc,0.0006905000191181898,10
4903622QC.nc,0.0004720000142697245,3
7901009QC.nc,0.0005044999998062849,10
4903622QC.nc,0.0006479999865405262,3
4903622QC.nc,0.0004729999927803874,3
7901009QC.nc,0.0006849999772384763,10
4903622QC.nc,0.0005050000036135316,3
4903622QC.nc,0.0006830000202171504,3
2904011QC.nc,0.0006469999789260328,3
4903622QC.nc,0.001259000040590763,3
7901009QC.nc,0.0005810000002384186,9
4903622QC.nc,0.000539999979082495,3
7901009QC.nc,0.0005699999746866524,10
4903622QC.nc,0.0005830000154674053,3
4903622QC.nc,0.0005489999894052744,3
4903622QC.nc,0.000526999996509403,3
4903622QC.nc,0.0005169999785721302,3
4903622QC.nc,0.0005610000225715339,3
4903622QC.nc,0.0006070000235922635,3
4903622QC.nc,0.0005719999899156392,3
7901009QC.nc,0.0006270000012591481,9
7901009QC.nc,0.0005389999714680016,9
7901009QC.nc,0.0005409999866969883,9
7901009QC.nc,0.0005409999866969883,9
7901009QC.nc,0.0006350000039674342,10
7901009QC.nc,0.0006360000115819275,9
7901009QC.nc,0.0007550000445917249,10
7901009QC.nc,0.000950500019825995,10
7901009QC.nc,0.0005530000198632479,10
7901009QC.nc,0.0006435000104829669,10
7901009QC.nc,0.0005200000014156103,9
2904010QC.nc,0.0006409999914467335,3
2904010QC.nc,0.0006629999843426049,3
2904010QC.nc,0.0008149999775923789,3
7901009QC.nc,0.0005210000090301037,9
7901009QC.nc,0.0005039999959990382,9
4903622QC.nc,0.0005499999970197678,3
7901009QC.nc,0.0006280000088736415,9
7901009QC.nc,0.0005004999693483114,10
4903622QC.nc,0.0006489999941550195,3
7901009QC.nc,0.0005130000063218176,9
4903622QC.nc,0.0005610000225715339,3
4903622QC.nc,0.00044999999227002263,3
4903622QC.nc,0.0017030000453814864,3
4903622QC.nc,0.0005169999785721302,3
4903622QC.nc,0.0005600000149570405,3
4903622QC.nc,0.000615999975707382,3
4903622QC.nc,0.000750000006519258,3
4903622QC.nc,0.0005719999899156392,3
4903622QC.nc,0.0005499999970197678,3
7901009QC.nc,0.0006230000290088356,10
7901009QC.nc,0.0006374999647960067,10
7901009QC.nc,0.0005600000149570405,9
7901009QC.nc,0.0008040000102482736,10
2904010QC.nc,0.0006409999914467335,3
2904010QC.nc,0.0006300000241026282,3
2904010QC.nc,0.0006300000241026282,3
2904010QC.nc,0.0006520000169984996,3
2904010QC.nc,0.0007719999994151294,3
2904011QC.nc,0.0006120000034570694,3
2904011QC.nc,0.0006719999946653843,3
2904011QC.nc,0.0006949999951757491,3
2904011QC.nc,0.0005159999709576368,3
2904011QC.nc,0.0006350000039674342,3
2904011QC.nc,0.0007430000114254653,3
2904011QC.nc,0.0007190000033006072,3
2904011QC.nc,0.0006000000284984708,3
7901009QC.nc,0.0006649999995715916,9
7901009QC.nc,0.0005784999812021852,10
7901009QC.nc,0.0006060000159777701,9
7901009QC.nc,0.0005159999709576368,9
7901009QC.nc,0.0006060000159777701,9
7901009QC.nc,0.0004895000020042062,10
7901009QC.nc,0.0005189999938011169,10
4903622QC.nc,0.0007050000131130219,3
7901009QC.nc,0.0006210000137798488,9
4903622QC.nc,0.00039400000241585076,3
7901009QC.nc,0.0005970000056549907,9
4903622QC.nc,0.0005280000041238964,3
4903622QC.nc,0.0004949999856762588,3
4903622QC.nc,0.0005610000225715339,3
7901009QC.nc,0.0004459999909158796,9
7901009QC.nc,0.0005089999758638442,9
2904011QC.nc,0.0006590000120922923,3
2904010QC.nc,0.0006200000061653554,3
2904010QC.nc,0.0006520000169984996,3
2904010QC.nc,0.000826000003144145,3
2904011QC.nc,0.0007200000109151006,3
2904011QC.nc,0.0005639999872073531,3
7901009QC.nc,0.000598000013269484,9
7901009QC.nc,0.0005319999763742089,9
7901009QC.nc,0.0006469999789260328,10
7901009QC.nc,0.0005520000122487545,9
2904010QC.nc,0.00072900002123788,3
2904011QC.nc,0.0007450000266544521,3
