wave,aph_1,aph_2
400,0.38327695,0.118626392
405,0.3940723402,0.1228401622
410,0.4282929142,0.1320025888
415,0.4500179998,0.1362930384
420,0.4582552132,0.1378452916
425,0.472234391,0.1451821922
430,0.4969413384,0.153058265
435,0.519117842,0.160874382
440,0.5147970746,0.1610897506
445,0.4823863926,0.1542677214
450,0.4524997376,0.1478786884
455,0.4496887484,0.1492689602
460,0.4550461748,0.1529746104
465,0.4516962934,0.1526781814
470,0.4317330554,0.141269184
475,0.4062006658,0.1335224604
480,0.3820691554,0.126271645
485,0.360606359,0.1201009484
490,0.3419985102,0.1151248852
495,0.3222346544,0.1082539706
500,0.2996344108,0.1007853094
505,0.2742286656,0.0923953696
510,0.249564714,0.0842827122
515,0.226436469,0.0764893152
520,0.2073730094,0.0710705816
525,0.1870328032,0.0637948322
530,0.1672180872,0.0570768358
535,0.1508043228,0.0537406776
540,0.1333340076,0.0471358124
545,0.1161204102,0.0407137224
550,0.0976553904,0.0349164062
555,0.0821234228,0.0293805214
560,0.0716275522,0.02494047
565,0.0657876022,0.0219536854
570,0.065559739,0.0212337324
575,0.068974578,0.0213605028
580,0.075045434,0.0226252972
585,0.0828275274,0.0248152436
590,0.0857011142,0.0253305924
595,0.081267946,0.0242649818
600,0.075526362,0.022176412
605,0.0747353202,0.0225291722
610,0.0793542356,0.0237755388
615,0.0862967752,0.02588704
620,0.0933525778,0.0282941566
625,0.0987714432,0.0299240084
630,0.102310217,0.0316087392
635,0.105473097,0.0328337408
640,0.1046210516,0.03340339
645,0.0983467784,0.0329468822
650,0.098477761,0.0344533594
655,0.1177831218,0.041454549
660,0.160889404,0.0558954236
665,0.2233206288,0.074677357
670,0.2853465654,0.0928374528
675,0.3122131346,0.0988271254
680,0.2836289364,0.0889457976
685,0.2001405932,0.0631442368
690,0.1092289762,0.0357402388
695,0.0535880182,0.0190499188
700,0.027316188,0.0108782742
705,0.0154028986,0.0065076476
710,0.0102671872,0.0040593124
715,0.004076366,0.0003518856
720,0.00210590398,0.0002739916
725,0.0010036804,0.00023346172
730,7.84E-05,-0.0002207552
735,-0.000658262,-0.0006981802
740,-0.00099398532,-0.0006561038
745,-0.000656788,-0.000750371
750,-0.00824328675,-0.0107038966
